Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Dec,1673
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Jan,1695
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Feb,1898
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Mar,1720
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Apr,1729
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,May,1641
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Jun,1832
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Jul,2011
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Aug,2228
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Sep,2043
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Oct,1903
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Nov,1759
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2019,Dec,1669
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Jan,1918
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Feb,1837
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Mar,1568
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Apr,1359
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,May,1423
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Jun,1690
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Jul,1732
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Aug,1844
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Sep,1765
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Oct,1857
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Nov,1868
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2020,Dec,1742
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Jan,1546
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Feb,1550
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Mar,1700
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Apr,1743
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,May,1695
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Jun,1737
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Jul,1672
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Aug,1813
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Sep,1915
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Oct,1844
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Nov,1787
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2021,Dec,1729
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Jan,1601
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Feb,1623
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Mar,1722
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Apr,1837
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,May,1846
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Jun,2105
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Jul,1939
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Aug,2040
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Sep,2048
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Oct,1995
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Nov,1948
