Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Feb,1484
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Mar,1472
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Apr,1547
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,May,1373
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Jun,1347
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Jul,1144
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Aug,1326
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Sep,1309
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Oct,1043
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Nov,841
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Dec,1137
